nama,kode,harga,jenis,status
"PAKET INET - FREEDOM COMBO XXL, 10+10GB 4G, 30HR",HIFC10,98175,1,1
XL REGULER 15000,HXL15,15775,1,1
XL REGULER 30000,HXL30,30475,1,1
HZNG20,HZNG20 ZYN,26675,2,1
THREE INET - QUOTA 1GB 1TAHUN,HAON1,18675,1,1
THREE INET - QUOTA 2GB 1TAHUN,HAON2,33425,1,1
THREE INET - QUOTA 3GB 1TAHUN,HAON3,47175,1,1
THREE INET - QUOTA 4GB 1TAHUN,HAON4,57475,1,1
THREE INET - QUOTA 5GB 1TAHUN,HAON5,70575,1,1
THREE INET - QUOTA 6GB 1TAHUN,HAON6,82575,1,1
THREE INET - QUOTA 8GB 1TAHUN,HAON8,108575,1,1
THREE INET - QUOTA 10GB 1TAHUN,HAON10,133875,1,1
CERIA 50000,HCO5,5425,1,1
CERIA 10000,HCO10,10125,1,1
CERIA 20000,HCO20,19375,1,1
CERIA 50000,HCO50,46625,1,1
CERIA 100000,HCO100,92125,1,1
"BB GAUL UNLI PULSA RP20RB, 7HR",HBGU20,21275,1,1
"BB FULL BIS LITE RP25RB, 7HR",HBBS25,26275,1,1
BB 3IN1 ( FREE TLP & SMS KE 3 NO YG DIDAFTARKAN),HBB3IN1X,124825,1,2
"HOTROD 24JAM RP25RB, 30HR, 500MB",HRD22,24075,1,1
"HOTROD 24JAM RP30RB, 30HR, 600MB",HJM27,28275,1,1
"HOTROD XTRA 4G 2GB, 30HR, RP30RB",HXG30,30975,1,1
"HOTROD 24JAM RP50RB, 30HR, 1.5GB",HRD45,46275,1,1
"HOTROD 24JAM RP60RB, 30HR, 2GB",HJM48,49275,1,1
"HOTROD 3X KUOTA 4.5GB, 30HR, RP50RB",HRD50,51275,1,1
"HOTROD XTRA 4G 3GB, 30HR, RP60RB",HXG60,59775,1,1
"HOTROD 24JAM RP100RB, 30HR, 4.5GB",HJM80,81275,1,1
"HOTROD 24JAM RP120RB, 30HR, 6GB",HJM96,97275,1,1
"HOTROD 3X KUOTA, 13.5GB, 30HR, RP100RB",HRD100,101275,1,1
"HOTROD XTRA 4G 6GB, 30HR, RP120RB",HXG120,118275,1,1
"BB FULL BIS LITE UNLI PULSA RP30RB, 7HR",HBFU30,31275,1,1
"BB XMARTPLAN GAUL 50MNT + 50SMS, 30HR",HBXGJ45,46275,1,1
"BB GAUL (CHATSOCIAL) RP50RB, 30HR",HBGD45,46275,1,1
"BB GAUL UNLI PULSA RP55RB, 30HR",HBGUD49,50775,1,1
"BB BIZZ (EMAILCHAT) RP55RB, 30HR",HBBD49,50775,1,1
"BB XMARTPLAN, 30HR, GAUL+100MNT+100SMS",HBBX60,54875,1,1
"BB XMARTPLAN RP60RB, 30HR, GAUL+100MNT+100SMS",HBXD54,55275,1,1
"BB FULL BIS LITE RP70RB, 30HR",HBBS70,64275,1,1
"BB XMARTPLAN FULL BIS LITE 75MNT + 75SMS, 30HR",HBXFL75,68775,1,1
"BB FULL BIS LITE UNLI PULSA RP85RB, 30HR",HBFUD76,77775,1,1
"BB FULL SERVICE RP90RB, 30HR",HBBD81,82275,1,1
"BB XMARTPLAN GAUL 50MNT + 50SMS, 90HR",HBXGJ90,91275,1,1
"BB XMARTPLAN FULL SERVICE 100MNT + 100SMS, 30HR",HBXFS90,91275,1,1
"BB XMARTPLAN, 30HR, FULL BIS+200MNT+200SMS",HBBX120,108300,1,1
"BB XMARTPLAN FULL BIS LITE 75MNT + 75SMS, 90HR",HBXFL135,136275,1,1
"BB XMARTPLAN FULL SERVICE 100MNT + 100SMS, 90HR",HBXFS180,181275,1,1
PULSA BOLT 29000,HBO29,28675,1,1
PULSA BOLT 49000,HBO49,47875,1,1
PULSA BOLT 99000,HBO99,95875,1,1
PULSA BOLT 149000,HBO149,143875,1,1
PULSA BOLT 199000,HBO199,191875,1,1
AXIS TRANSFERPULSA 5000,HAXT5,6225,1,1
AXIS TRANSFERPULSA 10000,HAXT10,10875,1,1
AXIS TRANSFERPULSA 20000,HAXT20,19975,1,1
AXIS TRANSFERPULSA 25000,HAXT25,24525,1,1
AXIS TRANSFERPULSA 50000,HAXT50,47775,1,1
AXIS TRANSFERPULSA 100000,HAXT100,93775,1,1
AXIS TRANSFERPULSA 200000,HAXT200,184775,1,1
SMARTSMARTFREN 150000,HSM150,147725,1,1
SMARTSMARTFREN 200000,HSM200,197475,1,1
SMARTSMARTFREN 300000,HSM300,297275,1,1
SMARTSMARTFREN 500000,HSM500,497125,1,1
AXIS 15000,HAX15,16000,1,1
100 MOL POINT,HMOL10,11325,2,1
200 MOL POINT,HMOL20,21775,2,1
500 MOL POINT,HMOL50,53125,2,1
1000 MOL POINT,HMOL100,105375,2,1
2000 MOL POINT,HMOL200,209875,2,1
"HOTROD 24JAM RP30RB, 30HR, 800MB",HRM30,31375,1,1
HOTROD PRIORITAS 1.2GB RP50RB,HPR45,46375,1,1
"HOTROD 24JAM RP60RB, 30HR, 3GB",HRM54,55375,1,1
HOTROD PRIORITAS 4GB RP100RB,HPR90,91375,1,1
"HOTROD 24JAM RP100RB, 30HR, 6GB",HRM90,91375,1,1
"HOTROD 24JAM RP130RB, 30HR, 8GB",HRM117,118375,1,1
"HOTROD 24JAM RP180RB, 30HR, 12GB",HRM162,163375,1,1
HOTROD PRIORITAS 10GB RP200RB,HPR180,181375,1,1
"HOTROD 24JAM RP220RB, 30HR, 16GB",HRM198,199375,1,1
TELKOMSEL MURAH 5000,HSD5,5950,1,1
TELKOMSEL MURAH 10000,HSD10,10900,1,1
TELKOMSEL MURAH 20000,HSD20,20450,1,1
THREE DATA 1 GB + PULSA 10RB,HTD1,18875,1,1
THREE DATA 2 GB + PULSA 10RB,HTD2,33625,1,1
THREE DATA 3 GB + PULSA 10RB,HTD3,47375,1,1
THREE DATA 4 GB + PULSA 10RB,HTD4,57675,1,1
THREE DATA 6 GB + PULSA 20RB,HTD6,82775,1,1
THREE DATA 10 GB + PULSA 20RB,HTD10,134075,1,1
TELKOMSEL DI 10000,HSDI10,11025,1,1
ISAT REGULER 5000,HDI5,6300,1,1
ISAT REGULER 10000,HDI10,11300,1,1
ISAT REGULER 25000,HDI25,26000,1,1
PAKET INTERNET - 9GB 90HRI 69RB (TELP+SMS),HIDN9,69900,1,1
"PAKET INTERNET - 6.5GB, 30HR, 99.900",HIDN65,72025,1,1
"PAKET INET BRONET 300MB, 7HR",HAXR7,8375,1,1
"PAKET INET BRONET 1GB, 30HR",HAXR15,16375,1,1
"PAKET INET BRONET 24JAM 1GB, 30HR, RP18800",HAXR19,20275,1,1
"PAKET INET BRONET 2GB, 60HR",HAXR22,23975,1,1
"PAKET INET BRONET 24JAM 2GB, 60HR, RP28800",HAXR26,27475,1,1
"PAKET INET BRONET 3GB, 60HR",HAXR32,33475,1,1
"PAKET INET BRONET 24JAM 3GB, 60HR, RP39800",HAXR36,37475,1,1
"PAKET INET BRONET 5GB, 60HR",HAXR45,46475,1,1
"PAKET INET BRONET 24JAM 5GB, 60HR, RP59800",HAXR54,55475,1,1
ISAT 25000,HIK25,25550,1,1
TELKOMSEL 10000,HSK10,11075,1,1
ASIASOFT - 1000-CASH,HKGA10,9975,2,1
ASIASOFT - 2000-CASH,HKGA20,18975,2,1
ASIASOFT - 5000-CASH,HKGA50,45975,2,1
ASIASOFT - 10000-CASH,HKGA100,90975,2,1
GAME FACEBOOK BOYAA POKER 20000,HKBP20,18975,2,1
GAME FACEBOOK - BOYAA POKER 50000,HKBP50,45975,2,1
GAME FACEBOOK - BOYAA POKER 100000,HKBP100,90975,2,1
BSF 5000,HKBSF5,5475,2,1
BSF 10000,HKBSF10,9975,2,1
BSF 25000,HKBSF25,23475,2,1
BSF 50000,HKBSF50,45975,2,1
BSF 100000,HKBSF100,90975,2,1
BSF 500000,HKBSF500,450975,2,1
CABAL ONLINE 1000 GOLD,HKCBL1,10275,2,1
CABAL ONLINE 3000 GOLD,HKCBL3,28575,2,1
CABAL ONLINE 5000 GOLD,HKCBL5,46975,2,1
CABAL ONLINE 10000 GOLD,HKCBL10,92975,2,1
55 DASA COIN,HKGD10,10175,2,1
110 DASA COIN,HKGD20,19375,2,1
275 DASA COIN,HKGD50,46975,2,1
550 DASA COIN,HKGD100,92975,2,1
DIGICASH 10000,HKDGC10,9975,2,1
DIGICASH 20000,HKDGC20,18975,2,1
DIGICASH 50000,HKDGC50,46975,2,1
DIGICASH 100000,HKDGC100,92975,2,1
DIGICASH 250000,HKDGC250,225975,2,1
E-PINS 5000 CHERRY CREDITS,HKCRY5,45975,2,1
E-PINS 10000 CHERRY CREDITS,HKCRY10,90975,2,1
E-PINS 14000 CHERRY CREDITS,HKCRY14,119075,2,1
E-PINS 20000 CHERRY CREDITS,HKCRY20,169475,2,1
FASTBLACK 40 OP,HKFSB40,9975,2,1
FASTBLACK 100 OP,HKFSB100,23475,2,1
FASTBLACK 200 OP,HKFSB200,45975,2,1
FASTBLACK 400 OP,HKFSB400,90975,2,1
GAME FAVEO 20000,HKFAV20,18975,2,1
GAME FAVEO 50000,HKFAV50,45975,2,1
GAME FAVEO 100000,HKFAV100,90975,2,1
FACEBOOK GAME CARD - 30000,HKFBG30,30225,2,1
FACEBOOK GAME CARD - 50000,HKFBG50,49125,2,1
FACEBOOK GAME CARD - 100000,HKFBG100,97275,2,1
GAMEWAVE 150 V-CASH,HKGW15,45975,2,1
GAMEWAVE 300 V-CASH,HKGW30,90975,2,1
GAMEWAVE 600 V-CASH,HKGW60,180975,2,1
GAMEWAVE 1500 V-CASH,HKGW150,450975,2,1
GAMEWAVE 3000 V-CASH,HKGW300,900975,2,1
GAMEWEB 10000,HKGWV10,10175,2,1
GAMEWEB 20000,HKGWV20,19375,2,1
GAMEWEB 50000,HKGWV50,46975,2,1
GAMEWEB 100000,HKGWV100,92975,2,1
GARENA 33 SHELL,HKGR10,10075,2,1
GARENA V20 = 66 SHELL,HKGR20,19175,2,1
GARENA V50 = 166 SHELL,HKGR50,46475,2,1
GARENA V100 = 333 SHELL,HKGR100,91950,2,1
GEMSCOOL 1000 G-CASH,HKGMS1,10275,2,1
GEMSCOOL 2000 G-CASH,HKGMS2,19575,2,1
GEMSCOOL 3000 G-CASH,HKGMS3,28875,2,1
GEMSCOOL 5000 G-CASH,HKGMS5,47475,2,1
GEMSCOOL 10000 G-CASH,HKGMS10,93975,2,1
GEMSCOOL 20000 G-CASH,HKGMS20,186975,2,1
GEMSCOOL 30000 G-CASH,HKGMS30,279975,2,1
GOGAME 20000,HKGGM20,22175,2,1
GOGAME 50000,HKGGM50,53775,2,1
GOGAME 100000,HKGGM100,106475,2,1
GOGAME 200000,HKGGM200,211175,2,1
60 MALL COIN,HKGES10,10475,2,1
121 MALL COIN,HKGES20,19975,2,1
309 MALL COIN,HKGES50,48475,2,1
624 MALL COIN,HKGES100,95975,2,1
GOOGLE PLAY - $10,HKGLP10,145775,2,1
GOOGLE PLAY - $15,HKGLP15,215725,2,1
GOOGLE PLAY - $25,HKGLP25,354625,2,1
GOOGLE PLAY - $50,HKGLP50,693475,2,1
GOOGLE PLAY - $100,HKGLP100,1384925,2,1
10000 ICREDITS IAH GAMES,HKGIHK10,9975,2,1
20000 ICREDITS IAH GAMES,HKGIHK20,18975,2,1
50000 ICREDITS IAH GAMES,HKGIHK50,45975,2,1
100000 ICREDITS IAH GAMES,HKGIHK100,90975,2,1
SHOWTIME KARAOKE 40 INCASH,HKGIN10,9975,2,1
SHOWTIME KARAOKE 80 INCASH,HKGIN20,18975,2,1
SHOWTIME KARAOKE 200 INCASH,HKGIN50,45975,2,1
SHOWTIME KARAOKE 400 INCASH,HKGIN100,90975,2,1
ITUNES GIFT CARD $10 (US),HKITN10,140875,2,1
ITUNES GIFT CARD $15 (US),HKITN15,203925,2,1
ITUNES GIFT CARD $25 (US),HKITN25,338875,2,1
ITUNES GIFT CARD $50 (US),HKITN50,675725,2,1
ITUNES GIFT CARD $100 (US),HKITN100,1336675,2,1
GAME FACEBOOK JOOMBI 20000,HKJM20,18975,2,1
GAME FACEBOOK - JOOMBI 50000,HKJM50,45975,2,1
GAME FACEBOOK - JOOMBI 100000,HKJM100,90975,2,1
2500 KOIN LYTO,HKLYT10,10475,2,1
5500 KOIN LYTO,HKLYT20,19975,2,1
10000 KOIN LYTO,HKLYT35,34225,2,1
20000 KOIN LYTO,HKLYT65,63375,2,1
57000 KOIN LYTO,HKLYT175,167225,2,1
KOIN LYTO 500,HKLYT500,475975,2,1
MAINKANCOM 5000 I-POIN,HKMAIN5,6300,2,1
MAINKANCOM 10000 I-POIN,HKMAIN10,11675,2,1
MAINKANCOM 25000 I-POIN,HKMAIN25,27450,2,1
MAINKANCOM 50000 I-POIN,HKMAIN50,53775,2,1
MAINKANCOM 100000 I-POIN,HKMAIN100,106475,2,1
MATCHMOVE 50 MCASH,HKGMM5,5475,2,1
MATCHMOVE 100 MCASH,HKGMM10,9975,2,1
MATCHMOVE 250 MCASH,HKGMM25,23475,2,1
MATCHMOVE 490 MCASH,HKGMM50,45975,2,1
MATCHMOVE 980 MCASH,HKGMM100,90975,2,1
MATCHMOVE 1160 MCASH,HKGMM200,180975,2,1
MEGAXUS 10000,HKMGX10,10075,2,1
MEGAXUS 20000,HKMGX20,19175,2,1
MEGAXUS 50000,HKMGX50,46475,2,1
MEGAXUS 100000,HKMGX100,91975,2,1
MEGAXUS 200000,HKMGX200,182975,2,1
MEGAXUS 500000,HKMGX500,455975,2,1
METIN 2 60000,HKMTN60,54975,2,1
METIN 2 120000,HKMTN120,108975,2,1
METIN 2 285000,HKMTN285,257475,2,1
METIN 2 545000,HKMTN545,491475,2,1
MOBIUS - 10,HKMB10,9975,2,1
MOBIUS - 30,HKMB30,27975,2,1
MOBIUS - 50,HKMB50,45975,2,1
MOBIUS - 100,HKMB100,90975,2,1
MOBIUS - 200,HKMB200,180975,2,1
MOGCAZ - 50000,HKMGC50,50975,2,1
MOGCAZ - 100000,HKMGC100,100975,2,1
MOGCAZ - 200000,HKMGC200,200975,2,1
MOGPLAY 20000,HKMOG20,18975,2,1
MOGPLAY 50000,HKMOG50,45975,2,1
MOGPLAY 100000,HKMOG100,90975,2,1
MOGPLAY 200000,HKMOG200,180975,2,1
MOGPLAY 500000,HKMOG500,450975,2,1
100 MOL POINT,HKMOL10,11425,2,1
200 MOL POINT,HKMOL20,21875,2,1
500 MOL POINT,HKMOL50,53225,2,1
1000 MOL POINT,HKMOL100,105475,2,1
2000 MOL POINT,HKMOL200,209975,2,1
MYCARD 50 POINTS,HKMYC50,25428,2,1
MYCARD 150 POINTS,HKMYC150,73905,2,1
MYCARD 350 POINTS,HKMYC350,163995,2,1
MYCARD 450 POINTS,HKMYC450,211185,2,1
MYCARD 1000 POINTS,HKMYC1000,464295,2,1
1000 O-CASH ORANGEGAME,HKGOG10,10175,2,1
3000 O-CASH ORANGEGAME,HKGOG30,28575,2,1
5000 O-CASH ORANGEGAME,HKGOG50,46975,2,1
10000 O-CASH ORANGEGAME,HKGOG100,92975,2,1
ORANGE TV 50000,HKOV50,46975,2,1
ORANGE TV 80000,HKOV80,74575,2,1
ORANGE TV 100000,HKOV100,92975,2,1
ORANGE TV 150000,HKOV150,138975,2,1
ORANGE TV 300000,HKOV300,276975,2,1
ORANGE TV 1000000,HKOV1000,920975,2,1
GAME FACEBOOK PICO WORLD 20000,HKPW20,18975,2,1
GAME FACEBOOK - PICO WORLD 50000,HKPW50,45975,2,1
GAME FACEBOOK - PICO WORLD 100000,HKPW100,90975,2,1
PLAYCIRCLE 10000,HKPLC10,9975,2,1
PLAYCIRCLE 30000,HKPLC30,27975,2,1
