ip,hits,online,tanggal
202.152.201.109,4,1327058893,2012-01-20
110.137.129.43,1,1327058738,2012-01-20
202.69.99.198,2,1327060524,2012-01-20
125.161.153.79,7,1327064730,2012-01-20
121.58.188.25,25,1327076952,2012-01-20
222.124.4.100,4,1327084766,2012-01-21
114.79.58.221,8,1327091625,2012-01-21
66.249.72.20,1,1327093101,2012-01-21
157.55.39.84,65,1327114976,2012-01-21
110.137.24.2,1,1327102746,2012-01-21
66.249.69.130,6,1327159327,2012-01-21
66.249.67.180,2,1327145964,2012-01-21
65.52.109.26,1,1327143305,2012-01-21
38.111.147.83,1,1327160422,2012-01-21
111.94.187.174,2,1327169695,2012-01-22
66.249.69.130,9,1327246908,2012-01-22
223.255.226.182,7,1327174045,2012-01-22
223.255.226.176,4,1327174088,2012-01-22
207.46.204.38,1,1327185345,2012-01-22
207.46.194.46,1,1327194067,2012-01-22
207.46.194.136,1,1327194162,2012-01-22
65.52.109.26,2,1327227844,2012-01-22
157.55.112.200,1,1327227832,2012-01-22
66.249.69.130,11,1327326285,2012-01-23
118.96.146.192,2,1327266379,2012-01-23
180.76.5.55,1,1327280705,2012-01-23
109.206.176.236,1,1327286672,2012-01-23
66.249.67.180,1,1327289586,2012-01-23
65.52.110.198,2,1327306595,2012-01-23
46.165.197.141,1,1327311193,2012-01-23
65.52.108.142,1,1327313953,2012-01-23
112.215.11.245,21,1327315148,2012-01-23
125.165.79.6,6,1327328048,2012-01-23
112.215.66.45,3,1327328157,2012-01-23
141.0.9.42,1,1327331659,2012-01-23
141.0.10.20,1,1327332992,2012-01-23
66.249.69.130,6,1327423171,2012-01-24
180.76.5.49,1,1327361458,2012-01-24
112.215.66.23,1,1327365834,2012-01-24
66.249.67.180,2,1327411812,2012-01-24
157.55.17.148,3,1327419642,2012-01-24
116.213.51.150,15,1327423086,2012-01-24
72.14.202.88,1,1327393909,2012-01-24
86.150.72.138,3,1327393970,2012-01-24
66.249.69.120,2,1327420853,2012-01-24
66.249.68.246,1,1327398333,2012-01-24
125.160.172.233,10,1327417277,2012-01-24
39.209.42.169,7,1327408431,2012-01-24
116.66.201.134,1,1327418033,2012-01-24
114.79.55.250,1,1327424570,2012-01-25
119.235.210.4,3,1327425060,2012-01-25
66.249.69.130,15,1327509969,2012-01-25
66.249.68.246,1,1327430650,2012-01-25
112.215.66.48,3,1327473389,2012-01-25
118.96.24.228,22,1327436054,2012-01-25
157.55.39.84,64,1327468154,2012-01-25
180.76.5.66,1,1327449411,2012-01-25
157.55.17.148,1,1327450817,2012-01-25
66.249.67.180,6,1327504812,2012-01-25
125.160.172.233,13,1327509595,2012-01-25
141.0.8.55,1,1327484319,2012-01-25
66.249.69.120,1,1327494492,2012-01-25
207.46.194.64,1,1327506782,2012-01-25
180.76.5.87,1,1327506789,2012-01-25
118.136.228.227,12,1327520322,2012-01-26
66.249.69.130,11,1327594221,2012-01-26
157.55.39.84,60,1327529703,2012-01-26
157.55.18.26,1,1327515698,2012-01-26
139.195.57.69,6,1327520638,2012-01-26
110.138.130.126,3,1327521355,2012-01-26
66.249.67.180,1,1327539528,2012-01-26
111.68.24.115,9,1327541335,2012-01-26
180.76.5.96,1,1327545010,2012-01-26
125.161.235.230,8,1327559431,2012-01-26
116.213.51.150,4,1327573908,2012-01-26
180.76.6.224,1,1327570324,2012-01-26
65.52.108.200,1,1327585730,2012-01-26
118.97.55.244,3,1327593955,2012-01-26
157.55.16.178,2,1327637110,2012-01-27
116.213.51.147,1,1327601740,2012-01-27
66.249.69.130,1,1327602363,2012-01-27
157.55.18.26,1,1327604211,2012-01-27
157.55.39.84,64,1327630209,2012-01-27
66.249.71.129,3,1327683315,2012-01-27
180.76.5.52,1,1327613075,2012-01-27
103.3.220.62,1,1327616235,2012-01-27
66.249.71.154,14,1327681614,2012-01-27
125.161.62.8,2,1327619139,2012-01-27
180.76.5.138,1,1327634590,2012-01-27
116.213.51.150,14,1327677433,2012-01-27
118.96.123.80,33,1327674347,2012-01-27
182.5.202.56,1,1327666343,2012-01-27
72.14.202.87,1,1327672667,2012-01-27
182.2.162.101,3,1327677921,2012-01-27
206.53.152.171,8,1327677963,2012-01-27
119.235.210.4,4,1327681454,2012-01-27
222.124.250.33,4,1327679075,2012-01-27
125.160.172.233,1,1327681828,2012-01-27
210.210.186.100,5,1327935927,2012-01-30
202.152.42.89,2,1327936424,2012-01-30
83.149.126.98,1,1327936358,2012-01-30
116.213.51.150,22,1327937097,2012-01-30
66.249.71.154,5,1327941492,2012-01-30
66.249.71.154,1,1327943608,2012-01-31
116.213.51.150,26,1328014534,2012-01-31
206.53.152.166,1,1327951024,2012-01-31
118.97.95.235,1,1327951025,2012-01-31
157.55.39.84,65,1327982553,2012-01-31
207.46.13.50,1,1327956610,2012-01-31
180.76.5.54,1,1327963326,2012-01-31
66.249.69.130,18,1328028838,2012-01-31
157.55.18.26,2,1327977323,2012-01-31
206.53.152.171,1,1327975817,2012-01-31
66.249.67.180,3,1328027474,2012-01-31
180.76.5.67,1,1327984607,2012-01-31
203.128.70.213,2,1327988709,2012-01-31
141.0.8.146,2,1327997827,2012-01-31
182.3.62.220,1,1327997718,2012-01-31
180.76.6.230,1,1328000174,2012-01-31
222.124.250.33,23,1328027269,2012-01-31
112.215.66.19,1,1328002123,2012-01-31
180.242.95.104,8,1328009335,2012-01-31
69.171.228.248,1,1328009692,2012-01-31
125.160.172.233,4,1328026054,2012-01-31
180.242.45.136,9,1328011856,2012-01-31
112.215.66.49,5,1328023825,2012-01-31
175.106.12.46,2,1328028690,2012-01-31
202.43.114.63,3,1328029649,2012-02-01
222.124.250.33,1,1328029925,2012-02-01
66.249.69.130,12,1328051398,2012-02-01
182.6.69.209,2,1328031145,2012-02-01
180.76.5.58,1,1328047324,2012-02-01
66.249.67.180,2,1328051027,2012-02-01
112.215.66.49,8,1328051461,2012-02-01
180.76.5.101,1,1328047669,2012-02-01
117.103.173.128,3,1328048740,2012-02-01
111.95.157.171,1,1328051117,2012-02-01
116.213.51.150,24,1328109833,2012-02-01
207.46.204.234,1,1328053990,2012-02-01
66.249.72.20,26,1328114182,2012-02-01
223.255.226.8,10,1328056126,2012-02-01
107.21.180.80,1,1328059258,2012-02-01
66.249.71.154,1,1328081206,2012-02-01
125.160.172.233,1,1328085419,2012-02-01
66.249.72.25,1,1328100765,2012-02-01
118.96.228.48,3,1328103226,2012-02-01
210.210.186.100,1,1328107583,2012-02-01
66.249.72.20,15,1328138165,2012-02-02
116.213.51.150,7,1328192888,2012-02-02
110.139.108.185,5,1328124282,2012-02-02
182.3.158.203,2,1328125649,2012-02-02
180.241.122.212,30,1328127819,2012-02-02
157.55.39.84,65,1328145115,2012-02-02
111.94.38.216,2,1328153137,2012-02-02
180.76.5.113,1,1328161401,2012-02-02
66.249.71.154,2,1328183548,2012-02-02
66.249.66.150,6,1328184937,2012-02-02
207.46.204.234,1,1328170428,2012-02-02
110.138.156.23,6,1328180804,2012-02-02
118.97.98.202,4,1328186196,2012-02-02
125.167.150.78,1,1328187870,2012-02-02
116.213.51.34,9,1328188274,2012-02-02
61.247.43.80,1,1328195430,2012-02-02
222.124.185.169,1,1328201219,2012-02-02
111.68.25.36,1,1328203695,2012-02-03
66.249.71.154,2,1328250025,2012-02-03
66.249.66.150,14,1328214524,2012-02-03
66.249.71.129,1,1328210424,2012-02-03
23.20.55.60,1,1328211234,2012-02-03
180.241.122.212,24,1328213376,2012-02-03
23.20.66.3,1,1328217265,2012-02-03
66.249.72.20,26,1328285420,2012-02-03
180.246.104.8,1,1328221859,2012-02-03
202.159.6.164,11,1328226366,2012-02-03
23.20.63.173,1,1328235424,2012-02-03
23.20.56.32,1,1328241240,2012-02-03
62.212.73.211,1,1328245312,2012-02-03
23.20.34.188,1,1328252924,2012-02-03
125.161.205.233,9,1328264400,2012-02-03
118.96.161.135,3,1328264803,2012-02-03
50.19.41.58,1,1328264966,2012-02-03
182.10.160.162,1,1328267122,2012-02-03
116.213.51.150,12,1328282068,2012-02-03
114.79.0.214,1,1328270148,2012-02-03
107.20.52.144,1,1328276861,2012-02-03
23.20.14.39,1,1328282654,2012-02-03
125.165.83.1,2,1328286269,2012-02-03
112.215.66.49,1,1328287402,2012-02-03
180.76.5.164,1,1328290081,2012-02-04
66.249.72.20,23,1328367683,2012-02-04
116.213.51.150,1,1328296366,2012-02-04
180.76.5.140,1,1328307739,2012-02-04
180.246.115.235,1,1328309140,2012-02-04
66.249.72.25,2,1328374589,2012-02-04
157.55.16.86,1,1328317123,2012-02-04
184.72.145.150,1,1328335495,2012-02-04
65.52.104.89,4,1328374614,2012-02-04
180.76.5.88,1,1328355520,2012-02-04
125.162.96.15,3,1328357784,2012-02-04
65.52.110.22,1,1328371685,2012-02-04
125.165.57.57,2,1328374374,2012-02-04
203.84.141.196,2,1328374414,2012-02-04
65.52.104.89,3,1328417826,2012-02-05
66.249.72.20,26,1328456146,2012-02-05
157.55.39.84,61,1328414118,2012-02-05
65.52.110.199,3,1328393856,2012-02-05
112.215.66.64,5,1328392687,2012-02-05
74.125.16.82,1,1328392899,2012-02-05
182.13.248.36,4,1328393342,2012-02-05
116.213.51.150,1,1328397003,2012-02-05
66.249.72.25,2,1328421818,2012-02-05
207.46.204.189,1,1328411493,2012-02-05
207.46.13.95,1,1328411539,2012-02-05
207.46.13.160,1,1328416348,2012-02-05
207.46.192.47,1,1328422028,2012-02-05
207.46.13.208,2,1328426927,2012-02-05
114.79.1.230,1,1328426119,2012-02-05
207.46.13.50,1,1328430782,2012-02-05
114.79.13.131,1,1328432273,2012-02-05
65.52.104.21,1,1328435690,2012-02-05
157.55.16.219,1,1328435817,2012-02-05
120.164.25.50,10,1328444480,2012-02-05
119.235.210.4,2,1328450643,2012-02-05
206.53.148.145,2,1328453433,2012-02-05
112.215.66.80,2,1328455887,2012-02-05
65.52.110.201,1,1328456360,2012-02-05
206.53.152.171,2,1328457144,2012-02-05
65.52.110.19,1,1328457280,2012-02-05
182.9.49.159,6,1328461172,2012-02-05
182.9.49.159,6,1328461393,2012-02-06
180.76.5.48,1,1328461560,2012-02-06
66.249.72.20,22,1328538259,2012-02-06
222.124.80.144,2,1328467517,2012-02-06
180.254.151.229,8,1328473483,2012-02-06
157.55.39.84,65,1328487131,2012-02-06
180.76.5.182,1,1328479394,2012-02-06
119.235.210.4,2,1328479699,2012-02-06
103.10.64.14,2,1328487110,2012-02-06
207.46.199.53,1,1328486838,2012-02-06
223.255.226.9,26,1328488453,2012-02-06
184.22.123.26,1,1328509886,2012-02-06
207.46.204.177,1,1328511171,2012-02-06
116.213.51.150,69,1328540862,2012-02-06
203.142.64.114,2,1328519527,2012-02-06
61.247.43.80,19,1328541067,2012-02-06
103.3.70.254,9,1328524482,2012-02-06
118.96.134.162,1,1328524514,2012-02-06
66.249.72.25,1,1328533118,2012-02-06
157.55.16.87,1,1328538206,2012-02-06
118.137.100.45,4,1328545083,2012-02-06
125.164.92.158,1,1328549511,2012-02-07
66.249.72.20,11,1328633428,2012-02-07
157.55.16.87,2,1328564353,2012-02-07
180.253.143.83,2,1328558026,2012-02-07
110.138.218.170,9,1328558784,2012-02-07
180.76.5.187,1,1328559077,2012-02-07
202.152.201.76,1,1328561623,2012-02-07
157.55.39.84,61,1328596776,2012-02-07
65.52.110.16,1,1328570700,2012-02-07
157.55.16.57,3,1328592636,2012-02-07
180.76.5.67,1,1328583326,2012-02-07
116.213.51.150,27,1328631764,2012-02-07
66.249.72.25,2,1328622790,2012-02-07
180.76.5.150,1,1328607985,2012-02-07
103.10.66.16,1,1328609711,2012-02-07
180.241.1.189,3,1328611300,2012-02-07
118.137.100.45,9,1328614848,2012-02-07
207.46.13.157,3,1328632170,2012-02-07
202.51.111.234,3,1328625688,2012-02-07
207.46.13.95,1,1328626996,2012-02-07
141.0.10.124,1,1328628390,2012-02-07
112.215.11.29,1,1328629523,2012-02-07
141.0.10.1,1,1328629776,2012-02-07
66.249.72.20,16,1328715792,2012-02-08
112.215.21.89,1,1328635742,2012-02-08
141.0.10.92,1,1328636442,2012-02-08
116.213.51.150,18,1328710075,2012-02-08
157.55.16.178,6,1328675874,2012-02-08
207.46.204.191,1,1328641393,2012-02-08
125.162.188.33,3,1328645187,2012-02-08
65.52.109.62,5,1328672894,2012-02-08
112.215.66.56,2,1328647776,2012-02-08
203.78.123.140,1,1328647681,2012-02-08
180.252.227.228,1,1328649770,2012-02-08
206.53.152.171,7,1328698810,2012-02-08
206.53.152.172,1,1328655713,2012-02-08
206.53.152.166,2,1328655811,2012-02-08
206.53.152.167,2,1328656330,2012-02-08
157.55.17.146,1,1328682604,2012-02-08
180.76.5.92,1,1328682673,2012-02-08
66.249.72.25,1,1328685372,2012-02-08
180.246.116.20,8,1328687546,2012-02-08
65.52.110.16,4,1328718933,2012-02-08
210.210.186.100,1,1328697088,2012-02-08
118.97.27.82,1,1328700009,2012-02-08
61.247.40.69,20,1328706364,2012-02-08
61.247.53.58,6,1328706253,2012-02-08
110.137.172.237,1,1328709700,2012-02-08
117.102.94.138,4,1328713961,2012-02-08
150.70.172.200,2,1328714118,2012-02-08
207.46.199.53,6,1328751879,2012-02-09
66.249.72.25,1,1328721793,2012-02-09
202.152.194.248,5,1328724997,2012-02-09
66.249.72.20,15,1328805899,2012-02-09
65.52.109.147,1,1328729246,2012-02-09
207.46.199.45,1,1328729432,2012-02-09
110.137.45.184,4,1328734204,2012-02-09
180.246.104.8,1,1328735644,2012-02-09
157.55.16.55,5,1328768256,2012-02-09
223.255.224.28,14,1328741814,2012-02-09
65.52.110.16,3,1328754423,2012-02-09
187.103.67.245,1,1328743822,2012-02-09
207.46.13.97,2,1328788058,2012-02-09
207.46.13.209,1,1328758591,2012-02-09
207.46.192.45,3,1328781517,2012-02-09
116.213.51.150,5,1328791243,2012-02-09
72.14.202.91,1,1328770620,2012-02-09
207.46.13.99,4,1328788175,2012-02-09
110.136.148.253,5,1328784353,2012-02-09
206.53.148.17,1,1328777116,2012-02-09
65.52.110.145,1,1328778463,2012-02-09
65.52.108.12,1,1328782951,2012-02-09
182.1.194.147,4,1328785332,2012-02-09
203.130.236.193,16,1328786981,2012-02-09
223.255.231.29,8,1328787403,2012-02-09
65.52.104.82,1,1328786993,2012-02-09
180.178.92.2,6,1328794322,2012-02-09
65.52.108.142,1,1328791964,2012-02-09
94.100.189.220,1,1328795772,2012-02-09
61.247.43.80,3,1328807213,2012-02-10
157.55.17.147,1,1328807250,2012-02-10
66.249.72.20,7,1328892172,2012-02-10
110.136.148.253,2,1328813783,2012-02-10
182.2.112.6,2,1328815084,2012-02-10
110.136.185.51,1,1328822005,2012-02-10
180.254.212.244,1,1328822315,2012-02-10
65.52.108.24,1,1328824378,2012-02-10
65.52.104.82,1,1328824544,2012-02-10
116.213.51.150,11,1328890250,2012-02-10
120.88.194.110,2,1328829948,2012-02-10
66.249.72.25,2,1328876378,2012-02-10
65.52.108.67,3,1328883878,2012-02-10
207.46.13.148,2,1328853617,2012-02-10
65.52.104.20,2,1328842526,2012-02-10
65.52.108.145,5,1328876208,2012-02-10
74.6.13.87,1,1328856648,2012-02-10
180.178.92.2,6,1328860022,2012-02-10
203.78.119.43,1,1328860182,2012-02-10
125.160.172.233,4,1328877649,2012-02-10
141.0.9.216,1,1328869208,2012-02-10
141.0.8.48,3,1328869738,2012-02-10
222.124.195.140,7,1328869985,2012-02-10
180.253.167.41,1,1328875773,2012-02-10
65.52.104.89,1,1328880619,2012-02-10
207.46.204.243,1,1328880760,2012-02-10
39.211.235.179,7,1328885052,2012-02-10
39.213.17.108,1,1328886235,2012-02-10
182.11.56.214,3,1328887623,2012-02-10
81.200.0.210,1,1328896907,2012-02-11
66.249.72.20,2,1328902014,2012-02-11
182.1.156.223,1,1328899997,2012-02-11
39.209.88.240,1,1328901443,2012-02-11
180.246.163.73,1,1328901655,2012-02-11
65.52.108.67,2,1328915029,2012-02-11
110.138.54.181,6,1328901897,2012-02-11
118.96.82.20,6,1328902501,2012-02-11
157.55.39.84,64,1328916828,2012-02-11
182.7.112.141,1,1328904454,2012-02-11
112.215.66.56,2,1328913566,2012-02-11
65.52.108.145,3,1328936820,2012-02-11
66.249.67.180,1,1328923840,2012-02-11
66.249.69.130,7,1328978367,2012-02-11
65.52.104.89,1,1328934082,2012-02-11
116.213.51.150,1,1328957271,2012-02-11
180.246.109.73,2,1328963313,2012-02-11
116.213.51.147,1,1328971254,2012-02-11
125.167.233.124,7,1328972077,2012-02-11
180.246.104.8,1,1328976498,2012-02-11
27.124.92.2,1,1328978118,2012-02-11
112.215.66.49,4,1328979055,2012-02-11
66.249.69.130,4,1328985354,2012-02-12
66.249.69.120,1,1328984149,2012-02-12
180.76.5.140,1,1328988706,2012-02-12
182.14.24.115,1,1328991547,2012-02-12
116.213.51.150,13,1328996424,2012-02-12
157.55.39.84,60,1329023642,2012-02-12
111.95.156.131,2,1328999338,2012-02-12
157.55.16.231,1,1329005410,2012-02-12
66.249.72.20,6,1329047411,2012-02-12
206.53.148.17,1,1329012231,2012-02-12
180.246.161.169,7,1329033211,2012-02-12
74.125.70.90,1,1329038428,2012-02-12
66.249.72.25,1,1329044360,2012-02-12
114.4.21.209,2,1329047103,2012-02-12
66.249.72.20,6,1329068894,2012-02-13
180.246.104.8,2,1329078071,2012-02-13
180.246.115.235,1,1329078015,2012-02-13
61.247.43.80,5,1329123073,2012-02-13
180.241.99.198,2,1329087586,2012-02-13
207.46.195.240,3,1329101339,2012-02-13
66.249.71.154,5,1329141342,2012-02-13
66.249.66.150,5,1329148262,2012-02-13
116.213.51.150,13,1329146096,2012-02-13
65.52.104.21,1,1329123291,2012-02-13
110.139.206.208,6,1329124532,2012-02-13
222.124.222.89,8,1329129962,2012-02-13
114.79.12.154,1,1329128192,2012-02-13
152.118.148.226,8,1329135550,2012-02-13
180.241.107.7,7,1329136848,2012-02-13
66.249.71.129,2,1329148609,2012-02-13
180.76.5.95,1,1329157510,2012-02-14
206.53.148.147,1,1329165119,2012-02-14
206.53.148.145,1,1329165350,2012-02-14
206.53.148.144,1,1329165415,2012-02-14
72.14.202.94,1,1329171632,2012-02-14
66.249.72.20,9,1329226880,2012-02-14
66.249.72.25,3,1329228197,2012-02-14
207.46.13.99,1,1329201273,2012-02-14
116.213.51.150,25,1329236547,2012-02-14
202.95.130.26,8,1329217423,2012-02-14
103.10.64.29,2,1329218314,2012-02-14
115.124.72.13,1,1329222553,2012-02-14
118.96.160.66,5,1329223069,2012-02-14
74.125.16.95,1,1329225520,2012-02-14
180.247.231.106,11,1329226274,2012-02-14
202.152.24.50,11,1329226878,2012-02-14
152.118.24.10,3,1329228281,2012-02-14
207.46.13.208,1,1329232531,2012-02-14
193.47.80.42,1,1329239785,2012-02-15
116.213.51.150,81,1329318064,2012-02-15
118.97.95.19,3,1329249172,2012-02-15
66.249.72.20,3,1329251087,2012-02-15
180.76.5.53,1,1329250867,2012-02-15
120.166.44.77,1,1329256530,2012-02-15
65.52.109.19,2,1329262310,2012-02-15
157.55.39.151,59,1329276737,2012-02-15
61.247.43.80,6,1329309941,2012-02-15
114.79.10.253,13,1329262687,2012-02-15
120.166.41.38,10,1329265252,2012-02-15
66.249.67.180,15,1329322040,2012-02-15
141.0.9.224,1,1329272747,2012-02-15
66.249.68.246,2,1329321357,2012-02-15
180.248.52.16,1,1329279323,2012-02-15
114.79.53.206,13,1329297063,2012-02-15
118.96.85.105,4,1329299979,2012-02-15
182.4.218.104,19,1329300078,2012-02-15
114.79.48.150,2,1329300252,2012-02-15
114.79.12.30,1,1329301514,2012-02-15
182.23.44.130,1,1329305538,2012-02-15
114.79.13.88,1,1329306543,2012-02-15
125.160.172.233,7,1329315073,2012-02-15
206.53.152.171,1,1329314511,2012-02-15
117.102.81.213,12,1329314841,2012-02-15
180.242.30.23,5,1329316530,2012-02-15
117.102.91.115,5,1329316551,2012-02-15
180.76.5.171,1,1329316475,2012-02-15
118.96.217.46,8,1329321787,2012-02-15
74.125.16.83,1,1329323378,2012-02-15
66.249.67.180,3,1329340636,2012-02-16
110.137.214.108,1,1329330317,2012-02-16
157.55.39.151,65,1329341159,2012-02-16
173.236.21.106,1,1329330461,2012-02-16
110.138.152.193,11,1329331898,2012-02-16
206.53.152.171,2,1329398477,2012-02-16
111.95.156.185,4,1329342045,2012-02-16
66.249.72.20,13,1329410663,2012-02-16
112.215.36.174,2,1329348528,2012-02-16
207.46.204.240,1,1329354844,2012-02-16
223.255.229.65,1,1329355006,2012-02-16
65.52.104.27,1,1329387340,2012-02-16
61.247.16.229,136,1329395454,2012-02-16
110.138.0.60,9,1329388398,2012-02-16
180.76.5.155,1,1329389920,2012-02-16
118.96.85.36,2,1329390109,2012-02-16
114.79.51.119,20,1329391271,2012-02-16
116.213.51.150,15,1329405335,2012-02-16
202.51.198.161,4,1329390895,2012-02-16
103.10.64.8,5,1329391179,2012-02-16
125.160.17.33,3,1329391725,2012-02-16
61.247.43.80,4,1329394102,2012-02-16
206.53.152.166,3,1329398492,2012-02-16
125.160.172.233,25,1329402350,2012-02-16
114.79.53.206,19,1329406586,2012-02-16
180.252.147.33,1,1329400563,2012-02-16
112.215.18.154,2,1329402478,2012-02-16
202.152.194.238,1,1329408985,2012-02-16
202.152.201.73,15,1329409542,2012-02-16
39.213.233.104,2,1329411968,2012-02-17
110.138.116.220,3,1329412547,2012-02-17
180.243.234.212,9,1329413438,2012-02-17
74.125.16.89,1,1329413372,2012-02-17
74.125.16.80,1,1329413544,2012-02-17
74.125.16.82,1,1329413590,2012-02-17
66.249.72.20,16,1329496831,2012-02-17
141.0.9.254,4,1329422394,2012-02-17
123.231.237.146,1,1329426160,2012-02-17
111.94.116.216,2,1329440206,2012-02-17
112.215.66.59,2,1329452499,2012-02-17
116.213.51.150,14,1329486411,2012-02-17
66.249.72.25,1,1329467003,2012-02-17
125.163.247.6,2,1329467060,2012-02-17
61.247.43.80,4,1329470598,2012-02-17
114.79.52.89,3,1329474224,2012-02-17
114.79.52.1,23,1329495469,2012-02-17
111.94.83.184,4,1329479644,2012-02-17
118.96.86.79,13,1329476215,2012-02-17
207.46.204.244,1,1329480876,2012-02-17
180.251.155.147,1,1329480938,2012-02-17
223.255.229.76,1,1329485530,2012-02-17
182.5.70.254,1,1329485914,2012-02-17
157.55.16.177,2,1329497074,2012-02-17
61.8.70.172,5,1329488028,2012-02-17
180.252.136.210,6,1329496048,2012-02-17
202.152.201.86,2,1329496402,2012-02-17
103.11.187.233,3,1329496597,2012-02-17
66.249.72.20,10,1329577518,2012-02-18
207.46.204.244,1,1329509937,2012-02-18
112.215.66.76,2,1329519374,2012-02-18
114.79.51.23,1,1329520514,2012-02-18
141.0.10.91,3,1329523389,2012-02-18
180.246.115.92,17,1329526322,2012-02-18
157.55.17.193,1,1329536477,2012-02-18
66.249.72.25,2,1329580552,2012-02-18
207.46.204.232,1,1329554181,2012-02-18
180.76.5.98,1,1329559351,2012-02-18
74.125.16.94,1,1329562144,2012-02-18
74.125.16.92,1,1329562149,2012-02-18
157.55.18.22,1,1329564703,2012-02-18
180.76.5.110,1,1329570056,2012-02-18
121.52.29.72,1,1329574612,2012-02-18
114.79.25.199,1,1329587013,2012-02-19
182.8.99.166,6,1329590339,2012-02-19
180.76.6.29,1,1329591383,2012-02-19
66.249.72.20,12,1329660718,2012-02-19
157.55.39.151,63,1329603707,2012-02-19
180.248.45.110,3,1329602309,2012-02-19
208.107.186.77,1,1329605929,2012-02-19
114.79.0.31,6,1329622864,2012-02-19
180.76.5.140,1,1329622693,2012-02-19
223.255.230.75,2,1329636964,2012-02-19
157.55.16.56,2,1329641319,2012-02-19
223.255.225.67,1,1329641281,2012-02-19
182.1.191.78,1,1329643849,2012-02-19
118.96.135.220,25,1329650146,2012-02-19
66.249.72.25,1,1329665964,2012-02-19
182.5.255.30,4,1329674307,2012-02-20
66.249.72.20,19,1329752087,2012-02-20
69.171.228.246,1,1329675133,2012-02-20
180.253.83.191,12,1329679746,2012-02-20
39.211.110.204,2,1329679727,2012-02-20
61.247.43.80,9,1329740520,2012-02-20
206.53.152.171,2,1329683868,2012-02-20
141.0.9.246,1,1329683772,2012-02-20
103.246.38.196,1,1329683790,2012-02-20
110.137.233.36,2,1329683863,2012-02-20
66.249.72.25,2,1329753371,2012-02-20
